volume,nr_RG
2,370
2,645
2,878
2,913
2,916
2,919
2,1462
2,1596
2,1682
2,2229
2,2322
2,2411
2,2477
2,2495
2,3398
2,3412
2,3604
2,5209
2,5321
2,5329
2,5332
2,5439
2,5443
2,5697
2,5711
2,6133
2,6177
2,6248
2,6985
2,7272
2,7276
2,7448
2,7530
2,7567
2,7568
2,7601
2,7645
2,7829
3,171
3,228
3,535
3,556
3,1008
3,1629
3,1969
3,1990
3,2188
3,2195
4,277
4,1168
4,1253
4,1307
4,1309
4,1318
4,1399
4,1415
4,1421
4,2363
4,2521
4,2962
4,2980
4,3100
4,3683
4,3705
4,3706
4,3877
4,5597
4,5759
4,5813
4,6189
4,6193
4,6709
4,8386
4,10237
4,10238
4,10240
4,10537
4,11033
4,11069
4,11967
4,12022
4,13431
4,14862
4,14897
4,15028
5,678
5,885
5,981
5,1482
5,1601
5,1954
5,2286
5,2472
5,3472
5,6313
5,6319
5,6338
5,6853
5,7372
5,7397
5,8363
5,8486
5,8513
5,8895
5,9465
5,9494
5,9557
6,126
6,427
6,554
6,568
6,921
6,922
6,1073
6,3976
6,4628
6,5229
6,5255
6,5322
6,5915
6,6002
6,6006
7,432
7,1083
7,2477
7,2487
7,2510
8,324
8,547
8,1132
8,2974
8,4104
8,4669
8,4732
8,5423
8,5719
8,5760
9,419
9,528
9,589
9,597
9,730
9,1004
9,1057
9,1746
9,1835
9,2155
9,3474
9,4226
9,5330
9,5381
9,5679
9,5684
9,5702
9,6104
9,6302
10,127
10,166
10,177
10,671
10,694
10,793
10,910
10,2025
10,2033
10,2077
10,2079
10,2434
10,2962
10,2971
10,3129
10,3733
10,6484
10,7321
10,7462
10,7477
10,7478
10,7659
10,7990
10,9037
10,9043
10,9051
10,9069
10,9182
10,9308
10,9463
10,9587
10,9855
10,9914
10,10116
10,10624
