Abkürzung,Auflösung,Übersetzung,Anmerkungen,Wortstamm,Deklination,RG1,RG2,RG3,RG4,RG5,RG6,RG7,RG8,RG9,Bemerkungen_1,Bemerkungen_2,volumes
abbrev.,litterarum apostolicarum abbreviator,"Abbreviator, Abfasser von Konzepten in der päpstlichen Kanzlei",,abbreviator -is,konsonantisch,abbrev.; abbreviator,abbrev.,abbr.,abbrev.; abbr.; abbreviator,abbrev.; abbreviator,abbrev.,abbrev.,abbrev.,abbrev.; abbreviator,,,1|2|3|4|5|6|7|8|9|10
abol.,abolere;,tilgen; abschaffen;,,"abole, abolev, abolit",e-Konj.,abolitio,,abol.,abolitio,abolitio,abol.,abol.,abol.,abol.; abolire,,,3|6|7|8|9|10
abol.,abolitio,Tilgung,,abolition- is,konsonantisch,,,,,,,,,,,,3|6|7|8|9|10
absol.,absolutio,Absolution,,absolution -is,konsonantisch,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
absol.,absolvere;,lossprechen;,,"absolv, absolv, absolut",konsonantische Konj.,absol.; absolv.; absolvere,absol.; absolutio; absolvere,absol.,absol.; absolv.; absolutio; absolvere,absol.; absolutio; absolvere,absol.; absolv.; absolvere,absol.; absolvere,absol.; absolv.; absolvere,absol.; absolutio; absolvere,,,1|2|3|4|5|6|7|8|9|10
acc.,acceptare,,,"accept, acceptav, acceptat",a-Konj.,,,,,,,,,,,,2|4|5|6|7|8|9|10
acc.,acceptatio,Annahme,,acceptation -is,konsonantisch,,,,,,,,,,,,2|4|5|6|7|8|9|10
acc.,acceptus,,,accept,o (Adj.),,,,,,,,,,,,2|4|5|6|7|8|9|10
acc.,accipere,"empfangen, erhalten",,"accipi, accep, accept",konsonantische Konj.,acceptare; accipere,acc.; accip.; acceptare; accipere,acceptare; acceptatio; accipere,acc.; accept.; acceptare; acceptatio; accipere,acc.; acceptare; acceptatio; accipere,acc.; acceptare; accipere,acc.; acceptare; acceptatio; accipere,acc.; acceptare; acceptatio; accipere,acc.; acceptare; acceptatio; accipere,,,2|4|5|6|7|8|9|10
acol.,acolitus,"Akoluth, Geistlicher mit der höchsten der niederen Weihen",,acolit(h) -i; acolut -i,o,acolitus,acol.; acolit(h)us,acolit.; acolitus; acolutus,acol.; acolitus,acol.,acol.,acol.,acol.; acolitus,acol.; acolitus; acolutus,,,2|4|5|6|7|8|9|10
adh.,adherens,,,adherent -is,gemischt,adh.; adher.; adherens; adherentes,adher.; adherens; adherentes,adh.,adherens; adherentes,adherens; adherentes,adher.; adherens; adherentes,adherens; adherentes,adherens; adherentes,adherens; adherentes,,,1
adh.,adherentes,,,adherent -is,gemischt,adh.; adher.; adherens; adherentes,adher.; adherens; adherentes,adh.,adherens; adherentes,adherens; adherentes,adher.; adherens; adherentes,adherens; adherentes,adherens; adherentes,adherens; adherentes,,,1
adher.,adherens,,,,,,,,,,,,,,,,1|2|3|6
adher.,adherentes,,,,,,,,,,,,,,,,1|2|3|6
adm.,admissio,Zulassung,,admission -is,konsonantisch,,,,,,,,,,,,5|7|8|9|10
adm.,admittere;,zulassen;,,"admitt, admis, admiss",konsonantische Konj.,admissio; admittere,admittere,admittere,admissio; admittere,adm.; admissio; admittere,admissio; admittere,adm.; admittere,adm.; admissio; admittere,adm.; admissio; admittere,,,5|7|8|9|10
admin.,administrare;,verwalten;,,"administr, administrav, administrat", a-Konj.,administrare; administrator,administrare; administrator,admin.; administr.; administrat.; administrare; administrator,admin.; administ.; administr.; administrare; administrator,admin.; administrare; administrator,admin.; administratrix,admin.,admin.; administrare; administrator,admin.; administrare; administrator,,,3|4|5|6|7|8|9|10
admin.,administratio;,Verwaltung,,adiministration -is,konsonantisch,,,,,,,,,,,,3|4|5|6|7|8|9|10
admin.,administrator,"Verwalter, (Bistums-)Verweser",,administrator -is,konsonantisch,,,,,,,,,,,,3|4|5|6|7|8|9|10
advoc.,advocare;,,,"advoc, advocav, advocat",a-Konj.,advocatus,advocatus,advocatus,advoc.; advocare; advocatus,advocare; advocatus,advocatus,advocare; advocatus,advoc.; advocatus,advocare; advocatus,,,4|8
advoc.,advocatus,,,advocat -i,o,,,,,,,,,,,,4|8
affin.,affinitas,,,affinitat -is,konsonantisch,affin; aff.,affinitas,affin.,affinitas,affinitas,,affinitas,affinitas,affinitas,,,1|3
aggrav.,aggravare;,,,"aggrav, aggravav?, aggravat",a-Konj.,aggravatio,aggrav.; aggravare,aggrav.; aggravare,aggravare; aggravatio,aggravare; aggravatio,aggrav.,aggravare,aggravare,aggravare; aggravatio,,,2|3|6
aggrav.,aggravatio,,,aggravation -in,konsonantisch,,,,,,,,,,,,2|3|6
al.,alias,sonst auch ... (genannt),,,,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
al.,alius;,der andere;,,ali -us,"o (Adj.) aber unregelmäßig: Gen. alius, Dat. alii",alius; alias,al.; alius; alias,al.; alius,al.; alius; alias,al.; alius; alias,al.; alius,al.; alius,al.; alius; alias,al.; alius; alias,,,2|3|4|5|6|7|8|9|10
ap.,apostolicus,apostolisch; päpstlich,,apostolic(h) -i,o/a (Adj.),ap.; apost.; apostolicus,ap.; apost.,ap.,ap.,ap.; apostolicus,ap.; apostolichus,ap.,ap.; apostlicus,ap.; apostolicus,,,1|2|3|4|5|6|7|8|9|10
approb.,approbare;,billigen,,"approb, approbav, approbat", a-Konj.,,approbare; approbatio,approb.; approbare; approbatio,approbare; approbatio,approb.; approbare; approbatio,approb.,approb.,approb.; approbare; approbatio,approb.; approbare,,,3|5|6|7|8|9|10
approb.,approbatio,Billigung,,approbation -is,konsonantisch  ,,,,,,,,,,,,3|5|6|7|8|9|10
archipresb.,archipresbiter,Erzpriester,,archipresb[iy]ter -i,o,archipresb.,archipresb.,archipresb.,archipresb.,archipresb.; archipresbiter,archipresb.; archipresbiter,archipresb.,archipresb.; [Aa]rchipresbiter,archipresb.,,,1|2|3|4|5|6|7|8|9|10
archipresbit.,archipresbiteratus,Amt/Stelle des Erzpriesters,,archipresb[iy]terat -us,u,,archipresbyteratus,archipresbyt.,archipresbit.; archipresbyt.; archipresbiteratus,archipresbit.; archipresbiteratus,archipresbiteratus,archipresbit.,archipresbit.; archipresbiteratus,archipresbiteratus,,,3|4|5|7|8
art.,artes,"Künste, Geisteswissenschaften, ",,art -ium,gemischt,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
art.,articulus,,(v.a. in mort. art.),articul -i,o,art.; artes; articulus,art.; artes; articulus,art.; articulus,art.; articulus,art.; artic.; artes; articulus,art.,art.,art.; artic.; artes; articulus,art.; artes; articulus,,,1|2|3|4|5|6|7|8|9|10
artic.,articulus,,siehe art.,,,,,,,,,,,,,,4|5|8
assec.,assecutio;,Erlangung (von Pfründen);,,assecution -is,konsonantisch,assecutio; assecutus,assecutio; assecutus,assec.; assecut.; assecutio,assec.; assecutus,assec.; assecutus,assec.,assec.,assec.; assecutus,assec.; assecutio; assecutus,,,3|4|5|6|7|8|9|10
assec.,assecutus,erlangt,,assecut -i,o (Adj.),,,,,,,,,,,,3|4|5|6|7|8|9|10
assign.,assignare;,zuweisen;,,"assign, assignav, assignat",,assignare; assegnatio,assign; assignare; assignatio,assign; assignare; assignatio,assig.; assignare; assignatio,assign; assignare; assignatio,assign; assignare,assign; assignare,assign.; assignare,assign; assignare,,,2|3|5|6|7|8|9|10
assign.,assignatio,Zuweisung,,assignation -is,konsonantisch,,,,,,,,,,,,2|3|5|6|7|8|9|10
aud.,auditor causarum sacri palatii apostolici,"Auditor, Rotarichter",,auditor -is,konsonantisch,auditor,aud.; auditor,audit.; auditor,aud.; auditor,aud.; audit.; auditor,aud.; audit.,aud.,aud.; auditor,aud.; auditor,,,2|3|4|5|6|7|8|9|10
audit.,auditor causarum sacri palatii apostolici,"Auditor, Rotarichter",siehe aud.,,,,,,,,,,,,,,5
b.,beatus;,heilig,,beat -i,o/a (Adj.),b.,b.,b.,b.,b.,b.,b.,b.,b.,,"b. für ""bulla"" nur in RG 4, in allen Bd. (inkl 4) sonst ausgeschrieben ",1|2|3|4|5|6|7|8|9|10
b.,bulla,Bulle,"v. a. in ""l. b.""; siehe dortigen Eintrag",bull -(a)e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
bac.,baccalaureus,Bakkalaureus (akademischer Grad),,baccalari -i; bacallari -i; baccalauri -i,o,bac.; bacal.; bacall.; baccal.; baccalarius; bacallarius,bac.,bac.,bac.,bac.; baccalaurius,bac.,bac.,bac.,bac.,,,1|2|3|4|5|6|7|8|9|10
