abbreviation,expansion
Aquileg.,Aquilegensis
Argent.,Argentinensis
August.,Augustensis
Bamberg.,Bambergensis
Basil.,Basileensis
Brandenburg.,Brandenburgensis
Bremen.,Bremensis
Brixin.,Brixinensis
Camin.,Caminensis
Chiem.,Chiemensis
Colon.,Coloniensis
Constant.,Constantiensis
Cracov.,Cracoviensis
Culm.,Culmensis
Cur.,Curiensis
Curon.,Curoniensis
Eistet.,Eistetensis
Frising.,Frisingensis
Gneznen.,Gneznensis
Gurc.,Gurcensis
Halberstad.,Halberstadensis
Havelberg.,Havelbergensis
Herbip.,Herbipolensis
Hildesem.,Hildesemensis
Laibac.,Laibacensis
Lausan.,Lausanensis
Lavant.,Lavantinensis
Leod.,Leodiensis
Lubic.,Lubicensis
Lubuc.,Lubucensis
Magdeburg.,Magdeburgensis
Magunt.,Maguntinensis
Merseburg.,Merseburgensis
Meten.,Metensis
Minden.,Mindensis
Misnen.,Misnensis
Monast.,Monasteriensis
Nove civit.,Nove civitis
Nuemburg.,Nuemburgensis
Olomuc.,Olomucensis
Osil.,Osiliensis
Osnaburg.,Osnaburgensis
Paderburn.,Paderburnensis
Patav.,Pataviensis
Pomezan.,Pomezaniensis
Poznan.,Poznaniensis
Prag.,Pragensis
Ratisbon.,Ratisbonensis
Razeburg.,Razeburgensis
Reval.,Revaliensis
Rigen.,Rigensis
Roskild.,Roskildensis
Salzeburg.,Salzeburgensis
Sambien.,Sambiensis
Seccov.,Seccoviensis
Sedun.,Sedunensis
Sleswic.,Sleswicensis
Spiren.,Spirensis
Tarbat.,Tarbatensis
Tergest.,Tergestinus
Traiect.,Traiectensis
Trever.,Treverensis
Trident.,Tridentinus
Verden.,Verdensis
Warm.,Warmiensis
Wien.,Viennensis
Wladislav.,Wladislaviensis
Wormat.,Wormatiensis
Wratislav.,Wratislaviensis
Zwerin.,Zwerinensis
