Abkürzung,Auflösung,word
abb. et. conv.,abbas et conventus,et
abol.,abolere,abolere
absol.,absolutio,absolutio
acolit.,acolitatus,acolitatus
adc.,auri de camera,de
adiudic.,adiudicare,adiudicare
admin.,administrare,administrare
advoc.,advocare,advocare
aggrav.,aggravare,aggravare
alt. port.,altare portatile,portatile
ann.,annuus,annuus
apl.,apostolus,apostolus
archipresb.,archipresbiter,archipresbiter
asad.,apud sedem apostolicam defunctus,apostolicam
auct.,auctoritas,auctoritas
aug.,augustus,augustus
b.,beatus,beatus
bac.,baccalaureus,baccalaureus
bapt.,baptista,baptista
baron.,baronia,baronia
bb.,beati,beati
bened.,benedictio,benedictio
bol.,bolendinus,bolendinus
bon.,bononiensis,bononiensis
cler. Magunt. dioc.,clericus Maguntinae diocesis,Maguntinae
coll.,collatus,collatus
Colon. dioc.,Coloniensis diocesis,Coloniensis
compon.,componere?,componere?
concordat.,concordatio,concordatio
condit.,conditio,conditio
conf.,confirmare,confirmare
confess.,confessio,confessio
confic.,conficiendus,conficiendus
cons.,consanguinitas,consanguinitas
dec.,december,december
def. nat. (p. c.),defectus natalium de presbitero et coniugata genitus,presbitero
den.,denarius,denarius
depend.,dependere,dependere
devol.,devolutio,devolutio
diff.,diffinitivus,diffinitivus
disp.,dispensatio,dispensatio
div.,diversus,diversus
eccl. Magunt.,ecclesia Maguntina,Maguntina
ed.,ediert,ediert
et.,etas,etas
ev.,evangelista,evangelista
except.,exceptus,exceptus
excom.,excommunicare,excommunicare
excom.,excommunicatio,excommunicatio
exec.,executere,executere
exemt.,exemtus,exemtus
expect.,expectatio,expectatio
feb.,februarius,februarius
fidel.,fidelitas,fidelitas
fl.,florenus,florenus
fragm.,fragmentum,fragmentum
gr.,grossus,grossus
habil.,habilitare,habilitare
habil.,habilitas,habilitas
i. p. i.,in partibus infidelium,in
ian.,ianuarius,ianuarius
id.,identisch,identisch
incompat.,incompatibilis,incompatibilis
incompat.,incompatibilitas,incompatibilitas
indulg.,indulgere,indulgere
ingr.,ingressio,ingressio
inhab.,inhabilitas,inhabilitas
inquir.,inquirere,inquirere
interd.,interdicere,interdicere
irreg.,irregularis,irregularis
irreg.,irregularitas,irregularitas
iudic.,iudiciaria,iudiciaria
iul.,iulius,iulius
iun.,iunius,iunius
karl.,karlinus,karlinus
len.,lenitas,lenitas
m.,murus,murus
mart.,martir,martir
mart.,martius,martius
matrim.,matrimonialis,matrimonialis
min.,minutus,minutus
nov.,november,november
nunc.,nuncupatus,nuncupatus
o. Cartus.,ordo Cartusiensis,Cartusiensis
o. Cist.,ordo Cisterciensium,Cisterciensium
o. Clun.,ordo Cluniacensium,Cluniacensium
o. Prem.,ordo Premonstratensium,Premonstratensium
obl.,obligare,obligare
observ.,observatio,observatio
occup.,occupatio,occupatio
oct.,october,october
p.,purus,purus
par.,parens,parens
paup.,paupertas,paupertas
plen.,plenarius,plenarius
plen.,plenus,plenus
pont.,pontificalis,pontificalis
port.,portatilis,portatilis
priv.,privatio,privatio
prom.,promotio,promotio
prothomart.,prothomartir,prothomartir
quitt.,quittare,quittare
R. I.,Romanorum Imperator,Imperator
recogn.,recognitus,recognitus
recogn.,recognoscere,recognoscere
rehab.,rehabilitare,rehabilitare
rehab.,rehabilitatio,rehabilitatio
reinstit.,reinstituere,reinstituere
reinstit.,reinstitutio,reinstitutio
renen.,renensis,renensis
res.,reservare,reservare
reval.,revalidare,revalidare
s.,solutus,solutus
S. R. E.,Sacrosancta Romana Ecclesia,Sacrosancta
scolast.,scolaster,scolaster
scr.,scriptus,scriptus
sept.,september,september
sol.,solidus,solidus
subdiacon.,subdiaconatus,subdiaconatus
subdiacon.,subdiaconia,subdiaconia
subrog.,subrogare,subrogare
subrog.,subrogatio,subrogatio
succustod.,succostodia,succostodia
suppl.,supplicare,supplicare
suprad.,supradictus,supradictus
surrog.,surrogatio,surrogatio
T.,Turonensis,Turonensis
test.,testare,testare
utr.,utrius,utrius
vacat.,vacaturus,vacaturus
vig.,vigor,vigor
