abbreviation,occurrences,word_accuracy,form_accuracy,no_gold_label,most_frequent_error,gold_variants,potential_gain
eccl.,402,1.0,0.6891,0,ecclesie,"ecclesia, ecclesiam, ecclesiarum, ecclesie, ecclesiis",124.98179999999998
d.,158,0.8987,0.5506,2,dictae,"d., data, dicta, dictam, dictarum",71.0052
an.,84,1.0,0.2262,0,annis,"anni, annis, annorum, annos, annum",64.9992
par.,151,0.9868,0.6358,0,parochialis,"parente, parochialem, parochiales, parochiali, parochialibus",54.99419999999999
can.,72,0.9444,0.25,0,canonicatus,"canonicas, canonicatibus, canonicatu, canonicatum, canonicatus",54.0
supplic.,50,0.04,0.04,2,supplicatio,"supplic., supplicante, supplicantibus, supplicat, supplicationis",48.0
mai.,58,1.0,0.2241,13,maius,"mai., maii, maiorem, maiores, maiori",45.0022
dec.,53,0.6226,0.283,22,december,"dec., decani, decano, decanus, decembris",38.001000000000005
conc.,46,0.3913,0.1957,0,concessio,"concedant, conceditur, concessa, concessarum, concesserunt",36.9978
preb.,60,1.0,0.4,0,prebenda,"prebenda, prebendam, prebendarum, prebendas, prebende",36.0
o.,132,1.0,0.7348,0,obstante,"obitum, obstante, obstantibus, ordinis",35.0064
ss.,32,1.0,0.0625,0,sancti,"sanctarum, sanctorum",30.0
m.,83,0.9036,0.6627,0,marcae,"mandati, mandato, mandatum, marcarum, minorum",27.995900000000002
vac.,29,0.8966,0.1034,0,vacante,"vacante, vacantes, vacantibus, vacantis, vacantium",26.0014
op.,111,1.0,0.7658,0,opidi,"opidi, opido, opidorum, opidum",25.996199999999995
Camin.,48,1.0,0.5,0,Caminensis,"Caminensem, Caminensi, Caminensibus, Caminensis, Caminensium",24.0
mon.,86,1.0,0.7326,0,monasterio,"monasteria, monasterii, monasteriis, monasterio, monasteriorum",22.996399999999998
Cist.,24,0.9583,0.0833,0,Cisterciensium,Cisterciensis,22.000799999999998
mart.,19,0.9474,0.0,8,martius,"mart., martii, martiris, martirum",19.0
Magdeburg.,43,1.0,0.5814,0,Magdeburgensis,"Magdeburgensem, Magdeburgenses, Magdeburgensi, Magdeburgensibus, Magdeburgensis",17.9998
Misnen.,92,1.0,0.8152,1,Misnensis,"Misnen., Misnensem, Misnenses, Misnensi, Misnensibus",17.001599999999996
