Abkürzung,Auflösung,word,Wortstamm,Deklination,forms
acolit.,acolitatus,acolitatus,acolitat -us,u,6
bapt.,baptista,baptista,baptist -e,a (m.),7
decb.,december,december,decembr -is,kons.,9
exec.,executere,executere,"executi, execuss, execuss",gem.-Konj.,139
feb.,februarius,februarius,februari -i,o,8
habil.,habilitas,habilitas,habilitat -is,kons.,8
ian.,ianuarius,ianuarius,ianuari -i,o,8
ingr.,ingressio,ingressio,ingression -is,kons.,8
irreg.,irregularis,irregularis,irregular -is,i/kons. ?,10
iudic.,iudiciaria,iudiciaria,iudiciari -e,a,7
rehab.,rehabilitare,rehabilitare,"rehabilit, rehabilitav, rehabilitat",a-Konj.,138
reinstit.,reinstitutio,reinstitutio,reinstitution -is,kons.,8
subdiacon.,subdiaconia,subdiaconia,subdiaconi -e,a,7
surrog.,surrogatio,surrogatio,surrogation -is,kons.,8
