volume,nr_RG,nr_suffix,header_no_tags,regest_no_tags,id_RG_all
2,370,0,Albertus archiepiscopus etc. Magdeburg et cives civis Magdeburgensis,,10200370-0
2,370,1,,"concessio indulgentia iubilei visitantibus ecclesia maior, domum frater herem. sanctus Aug. Magdeburgensis, ecclesia sancti Johannis in Monte extra muros Magdeburgensis, ecclesia sancti Petri et Pauli in antiqua civitas Magdeburgensis, oblationum abbati monasterium sanctus Petri de Percipiano ordo sancti Benedicti Terdon. diocesis nuntio et Bartholomeo de Turchiis civi Lucan. assignatarum medietas in fabricam basilicarum urbis convertatur, altera medietas in fabricam dictus ecclesia Magdeburgensis 26 aprilis 1394 L 1 103v et V 314 236v.",10200370-1
2,370,2,,"et Benedictus abbas sanctus Petri de Percipiano ordo sancti Benedicti Terdon. diocesis: concedere licentia, quod alter ipsorum altero absente litteras de indulgentia iubil. in provincia Magdeburgensis possit executioni mandare 26 aprilis 1396 V 315 189.",10200370-2
2,370,3,,conservator 17 december 1396 L 45 122v.,10200370-3
2,370,4,,"mandatum evocare canonicus Magdeburgensis qui ratione indulgentia iubilei contra ordinationem pape confessoribus constitutis quattuor cistas in ecclesia maior, domus frater herem. sanctus Aug., ecclesia sancti Johannis in Monte extra muros, ecclesia sancti Petri et Pauli in antiqua civitas Magdeburgensis deposuerunt et Johannem de Embeke, Gebehardum de Glina, Lippoldum de Stembeke et Beltramum de Velthem receptores pecuniarum deputaverunt Ipsi et Heydo de Byeren scolasticus, Walterus de Kokeritz cellerar., Meynhardus de Weringerade inter se divisionem fecerunt.",10200370-4
2,370,5,,deinde post obitus Benedicti abbas monasterium sanctus Petri de Percipiano ordo sancti Benedicti Terdon. diocesis ad ipsius hospitium accedentes aurum et argentum etc. rapuerunt et Michaelem de Paganis depositarium ad se vocatum incarceraverunt 21 december 1396 V 315 164.,10200370-5
2,370,6,,mandatum assignare pecunias a capitulo exactas Michaeli de Paganis de Luca seu Ludovico de Ballionibus de Perusia 10 februarius 1397 V 315 187.,10200370-6
2,370,7,,"revocatio mandatum de Johanne de Embeke, Ghebehardo de Glina, Lippoldo de Stembeke, Beltramo de Velthem, Meynardo de Wernigerode, Heydone de Byeren scolasticus, Waltero de Kokeritz cellerar. canonicus Magdeburgensis evocandis, quia ob utilitatem basilicarum urbis se egisse proposuerunt 22 iuri. 97 V 315 248.",10200370-7
2,370,8,,"confirmare instrumentum de confirmatio oppignorationis medietatis castri de Saltza a quondam Ludovico Magdeburgensis tunc Maguntinensis archiepiscopus Balthasari. Thuringiae landgravio, Wilhelmo et quondam Frederico Misniae marchionibus fratribus suis facte Albertus testimonium de guerra inter Ludovicum et Adolfum archiepiscopus Maguntinensis facta a Cristiano episcopus Nuemburgensis, Henrico episcopus Merseburg, Johanne in Swartzpurg comes,",10200370-8
2,645,0,Aschersleve,,10200645-0
2,645,1,,ecclesia domus frater minor opidum Halberstadensis diocesis: indulgentia ad instar ecclesia sancti Marie in Portiuncula 5 iulius 1401 L 94 199.,10200645-1
2,878,0,Boldensberg,,10200878-0
2,878,1,,capella beatus Marie Brandenburgensis diocesis: indulgentia 5 december 1400 L 90 106v.,10200878-1
2,913,0,Brunswic,,10200913-0
2,913,1,,procons. etc. opidum Halberstadensis diocesis: privilegium de non evocando 19 maius 1390 R 103.,10200913-1
2,913,2,,procons. etc. opidum Halberstadensis diocesis: revocatio privilegium de non evocando 27 december 1390 L 12 139.,10200913-2
2,913,3,,"procons. etc. opidum Halberstadensis diocesis: mandatum, ut archidiaconi et officiales vicarios in dictus opido instituant 8 augustus 1391 L 10 231.",10200913-3
2,913,4,,"procons. etc. opidum Halberstadensis diocesis: mandatum ut iam antea Rolando decanus ecclesia sancti Blasii in dictus opidum publicare constitutio Provide attendentes "" a Bonifatio VIII papa factus 7 maius 1400 L 79 224. """,10200913-4
2,913,5,,mensa decanus etc. ecclesia sancti Blasii Halberstadensis diocesis: incorporatio parochialis ecclesia sancti Odalrici Brunswic. 22 aprilis 1399 L 69 185v.,10200913-5
2,913,6,,parochialis ecclesia sancti Catherine Halberstadensis diocesis: indulgentia ad instar ecclesia sancti Marci de Venetiis 12 december 1399 L 82 175.,10200913-6
2,916,0,Budissin,,10200916-0
2,916,1,,ecclesia sancti Petri opidum Misnensis diocesis: de interdictum locus 7 maius 1402 R 331v.,10200916-1
2,916,2,,ecclesia beatus Marie domus frater minor Misnensis diocesis: indulgentia 29 december 1401 L 100 153v.,10200916-2
2,916,3,,ecclesia beatus Marie domus frater minor Misnensis diocesis: indulgentia 13 ianuarius 1402 L 100 158v.,10200916-3
2,919,0,Bukow,,10200919-0
2,919,1,,villa prope Gazelitz Brandenburgensis diocesis parochialis ecclesia: indulgentia 17 december 1401 L 100 110v.,10200919-1
2,1462,0,Dresden,,10201462-0
2,1462,1,,capella sanctus Crucis in opido Misnensis diocesis: indulgentia 28 augustus 1393 L 30 252.,10201462-1
2,1462,2,,capella sanctus Crucis in opido Misnensis diocesis: indulgentia 30 aprilis 1399 L 69 136.,10201462-2
2,1596,0,Elizabeth quondam marchionissa Misnensis,,10201596-0
2,1596,1,,indulgentia pro eis qui intersunt officiis et missis ab ea in ecclesia Misnensis fundatis 24 iulius 1402 L 104 234.,10201596-1
2,1682,0,Ernfridestorff,,10201682-0
2,1682,1,,parochialis ecclesia sancti Nicolai Erasmi et Catherine Misnensis diocesis: indulgentia 12 aprilis 1400 L 72 98.,10201682-1
2,2229,0,Gorlicz,,10202229-0
