abbreviation,occurrences,word_accuracy,form_accuracy,no_gold_label,most_frequent_error,gold_variants,potential_gain
eccl.,401,0.8354,0.4638,0,ecclesia,"ecclesia, ecclesiam, ecclesiarum, ecclesie, ecclesiis",215.0162
d.,157,0.7197,0.0318,2,dictus,"d., data, dicta, dictam, dictarum",152.0074
s.,252,0.9405,0.5119,4,sanctus,"s., sacri, sancte, sancti, sine",123.0012
o.,132,0.9773,0.2576,0,ordo,"obitum, obstante, obstantibus, ordinis",97.9968
op.,110,1.0,0.1636,0,opidum,"opidi, opido, opidorum, opidum",92.004
an.,84,1.0,0.0,0,annus,"anni, annis, annorum, annos, annum",84.0
b.,83,0.9398,0.0,1,beatus,"b., beate",83.0
par.,150,0.9867,0.54,0,parochialis,"parente, parochialem, parochiales, parochiali, parochialibus",69.0
mai.,58,0.8103,0.0,13,maius,"mai., maii, maiorem, maiores, maiori",58.0
mon.,86,1.0,0.3372,0,monasterium,"monasteria, monasterii, monasteriis, monasterio, monasteriorum",57.000800000000005
can.,72,0.9306,0.25,0,canonicatus,"canonicas, canonicatibus, canonicatu, canonicatum, canonicatus",54.0
supplic.,50,0.04,0.0,2,supplicatio,"supplic., supplicante, supplicantibus, supplicat, supplicationis",50.0
conc.,46,0.3043,0.0435,0,concessio,"concedant, conceditur, concessa, concessarum, concesserunt",43.999
m.,83,0.9157,0.494,0,marca,"mandati, mandato, mandatum, marcarum, minorum",41.998
preb.,60,1.0,0.3333,0,prebenda,"prebenda, prebendam, prebendarum, prebendas, prebende",40.002
conf.,42,0.881,0.0952,1,confirmatio,"conf., confessorem, confirmata, confirmati, confirmatio",38.0016
dec.,53,0.9434,0.3774,22,december,"dec., decani, decano, decanus, decembris",32.997800000000005
ss.,32,1.0,0.0,0,sancti,"sanctarum, sanctorum",32.0
iul.,29,1.0,0.0,15,iulius,"iul., iulii",29.0
vac.,29,0.8966,0.1034,0,vacante,"vacante, vacantes, vacantibus, vacantis, vacantium",26.0014
Cist.,24,0.875,0.0,0,Cisterciensium,Cisterciensis,24.0
Camin.,48,1.0,0.5,0,Caminensis,"Caminensem, Caminensi, Caminensibus, Caminensis, Caminensium",24.0
oct.,23,1.0,0.0,6,october,"oct., octobris",23.0
ep.,28,1.0,0.2857,0,episcopus,"episcopi, episcopo, episcopum, episcopus",20.0004
febr.,20,1.0,0.0,9,februarius,"febr., februarii",20.0
iun.,20,1.0,0.0,4,iunius,"iun., iunii, iuniorem, iunioris",20.0
min.,19,1.0,0.0,0,minor,"minores, minori, minoribus, minoris, minorum",19.0
mart.,19,1.0,0.0,8,martius,"mart., martii, martiris, martirum",19.0
ian.,19,1.0,0.0,13,ianuarius,"ian., ianuarii",19.0
Misnen.,92,1.0,0.8043,1,Misnensis,"Misnen., Misnensem, Misnenses, Misnensi, Misnensibus",18.004399999999997
Brandenburg.,42,1.0,0.5714,1,Brandenburgensis,"Brandenburg., Brandenburgensem, Brandenburgensi, Brandenburgensis, Brandenburgensium",18.0012
sept.,18,1.0,0.0,3,september,"sept., septembris",18.0
alt.,40,1.0,0.575,0,altare,"altare, altari, altaris",17.0
nov.,17,1.0,0.0,7,november,"nov., novembris",17.0
fr.,17,0.1765,0.0,0,frater,"fratrem, fratres, fratrum",17.0
archidiac.,18,0.3333,0.0556,0,archidiaconus,"archidiaconatu, archidiaconatus, archidiaconi, archidiacono, archidiaconus",16.999200000000002
Magdeburg.,43,1.0,0.6047,0,Magdeburgensis,"Magdeburgensem, Magdeburgenses, Magdeburgensi, Magdeburgensibus, Magdeburgensis",16.997899999999998
rect.,24,1.0,0.3333,0,rector,"rector, rectore, rectorem, rectori, rectoris",16.0008
confess.,16,0.25,0.0,0,confessor,"confessionale, confessionali, confessiones, confessionibus, confessorem",16.0
relax.,21,1.0,0.2381,0,relaxatio,"relaxatio, relaxatione, relaxationis",15.9999
interd.,17,0.8824,0.1176,0,interdictum,"interdicti, interdictis, interdicto, interdictum",15.0008
Zwerin.,48,1.0,0.6875,0,Zwerinensis,"Zwerinensem, Zwerinensi, Zwerinensibus, Zwerinensis",15.0
v.,15,0.9333,0.0,138,virgo,"v., virginis",15.0
vicar.,23,1.0,0.3913,0,vicaria,"vicaria, vicariam, vicarie, vicariis",14.0001
aug.,14,1.0,0.0,5,augustus,"aug., augusti",14.0
virg.,13,1.0,0.0,0,virgo,virginis,13.0
monial.,13,1.0,0.0,0,monialis,monialium,13.0
cler.,16,1.0,0.1875,0,clericus,"clerici, clerico, clericorum, clericum, clericus",13.0
indulg.,183,0.9891,0.9344,0,indulgentia,"indulgentia, indulgentiam, indulgentiarum, indulgentias, indulgentie",12.004799999999998
off.,17,1.0,0.2941,0,officium,"officia, officii, officio, officium",12.0003
Gustrowen.,12,0.0,0.0,0,"","Gustrowensem, Gustrowensi, Gustrowensis",12.0
litig.,11,0.9091,0.0,0,litigare,"litigat, litigiosis",11.0
abb.,22,0.9545,0.5,0,abbas,"abbas, abbate, abbates, abbati, abbatibus",11.0
prov.,18,0.8333,0.3889,0,provisio,"providit, provincia, provisio, provisione, provisum",10.9998
plen.,10,0.0,0.0,0,plenus,plenaria,10.0
decb.,10,1.0,0.0,0,december,decembris,10.0
civit.,10,1.0,0.0,0,civitas,"civitate, civitatem, civitatis",10.0
presb.,13,1.0,0.2308,0,presbiter,"presbiter, presbiteri, presbitero, presbiterorum, presbiterum",9.9996
capel.,28,1.0,0.6429,0,capella,"capella, capellam, capelle",9.9988
