volume,nr_RG,abbreviation,gold,system,verdict,step,candidate_miss,candidates,verdict_once,expansion_once,context
8,324,A.,A.,A.,no_gold_label,"","","",no_gold_label,A.,et e. m. op. A. Halberstad. dioc. cui par.
8,324,Asscherleven.,Asscherleven.,Asscherleven.,no_gold_label,"","","",no_gold_label,Asscherleven.,Aschersleven Asscherleven. Prep. etc. mon. monial.
4,6189,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,n. o. quod d. B. vicar. in par. eccl.
5,678,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,dioc. par. eccl. in B. de indulg. 12 sept.
5,885,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,consules et univ. op. B. Hildesem. et Halberstad. diocc.
5,885,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,par. eccl. s. Andree B. Hildesem. dioc. Ludolpho Quirre
5,885,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,colleg. eccl. s. Blasii B. unius de notabilioribus colleg.
5,885,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,et mon. s. Egidii B. o. s. Ben. Halberstad.
8,547,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,R. E. immed. subiecti B. Halberstad. dioc. de indulg.
8,547,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,s. Ciriaci e. m. B. Hildesem. dioc. de conserv.
8,547,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,consules et univ. op. B. Halberstad. et Hildesem. dioc.
9,419,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,Francisci o. fr. min. B. Magdeburg. dioc. indulg. 7
9,528,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,b. Marie loci de B. Zwerin. dioc. supplic. Wernero
9,589,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,Marie virg. in villa B. Misnen. dioc. de indulg.
9,597,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,s. Crucis in mon. B. o. Prem. Havelberg. dioc.
9,597,B.,B.,B.,no_gold_label,"","","",no_gold_label,B.,5 an. item mon. B. ut supra p. guerras
2,370,Balthasari.,Balthasari.,Balthasari.,no_gold_label,"","","",no_gold_label,Balthasari.,Magdeburg. tunc Magunt. aep. Balthasari. Thuringiae landgravio Wilhelmo et
6,568,Brandenburg.,Brandenburg.,Brandenburgensis,no_gold_label,step 1 (rule),"","",no_gold_label,Brandenburgensis,Brandenburg. et Havelberg eccl. supplic.
2,913,Brunswic.,Brunswicensis.,Brunswic.,no_gold_label,"","","",no_gold_label,Brunswic.,par. eccl. s. Odalrici Brunswic. 22 apr. 1399 L
8,547,Brunswic.,Brunswic.,Brunswic.,no_gold_label,"","","",no_gold_label,Brunswic.,Brunswic. Brun wic. Brunswicen. Prep.
5,885,Brunswicen.,Brunswicen.,Brunswicen.,no_gold_label,"","","",no_gold_label,Brunswicen.,Brunswic Brunswicen. Halberstad. et Hildesem. diocc.
8,547,Brunswicen.,Brunswicen.,Brunswicen.,no_gold_label,"","","",no_gold_label,Brunswicen.,Brunswic. Brun wic. Brunswicen. Prep. etc. eccl. s.
4,14862,C.,C.,C.,no_gold_label,"","","",no_gold_label,C.,o. s. Ben. et C. in hospitio d. marchionis
9,730,C.,C.,C.,no_gold_label,"","","",no_gold_label,C.,Colnitz Par. eccl. in C. Misnen. dioc. in qua
9,6302,C.,C.,C.,no_gold_label,"","","",no_gold_label,C.,Marie virg. in villa C. Nuemburg. dioc. supplic. abb.
5,9557,Cz.,Cz.,Cz.,no_gold_label,"","","",no_gold_label,Cz.,b. Marie in villa Cz. sumptuose in suis edificiis
5,1482,D.,D.,D.,no_gold_label,"","","",no_gold_label,D.,Petri et Pauli op. D. in qua incole d.
9,1004,D.,D.,D.,no_gold_label,"","","",no_gold_label,D.,et Pauli appl. in D. Misnen. dioc. de indulg.
9,1057,D.,D.,D.,no_gold_label,"","","",no_gold_label,D.,et s. Crucis in D. que filialis par. eccl.
5,1601,E.,E.,E.,no_gold_label,"","","",no_gold_label,E.,eccl. b. Marie in E. ad quam propter plurima
5,1601,E.,E.,E.,no_gold_label,"","","",no_gold_label,E.,rectore par. eccl. in E. supplic. de indulg. et
5,1601,E.,E.,E.,no_gold_label,"","","",no_gold_label,E.,eccl. b. Marie in E. ad quam propter plurima
5,2286,G.,G.,G.,no_gold_label,"","","",no_gold_label,G.,Misnen. dioc. incole op. G. in cuius suburbio et
5,2472,G.,G.,G.,no_gold_label,"","","",no_gold_label,G.,Mauritii prope muros op. G. o. Cist. et par.
4,2980,H.,H.,H.,no_gold_label,"","","",no_gold_label,H.,conf. indulti conc. p. H. card. s. Eusebii legatum
4,5759,H.,H.,H.,no_gold_label,"","","",no_gold_label,H.,capella b. Marie ville H. Halberstad. dioc. que est
4,6189,H.,H.,H.,no_gold_label,"","","",no_gold_label,H.,8 ian. 29 d. H. produxit mandatum ratificationis 17
5,3472,H.,H.,H.,no_gold_label,"","","",no_gold_label,H.,eccl. s. Jacobi op. H. ob vetustatem ruinosa de
9,1746,H.,H.,H.,no_gold_label,"","","",no_gold_label,H.,consules et univ. op. H. Magdeburg. dioc. portata fuit
9,1746,H.,H.,H.,no_gold_label,"","","",no_gold_label,H.,consules et univ. op. H. Magdeburg. dioc. inter al.
9,1746,H.,H.,H.,no_gold_label,"","","",no_gold_label,H.,consules et univ. op. H. Magdeburg. dioc. restit. bulle
9,1835,H.,H.,H.,no_gold_label,"","","",no_gold_label,H.,c. clausula quod d. H. 2 vel 3 personas
5,1954,I.,I.,I.,no_gold_label,"","","",no_gold_label,I.,Moers aep. Colon. Fredericum I. marchionem Brandenburg. Ludovicum com.
5,8513,I.,I.,I.,no_gold_label,"","","",no_gold_label,I.,et burggravio Norenbergen. Friderici I. marchionis Brandenburg. filio supplic.
5,8513,I.,I.,I.,no_gold_label,"","","",no_gold_label,I.,et burggravio Norenbergen. Friderici I. marchionis Brandenburg. filio supplic.
5,8513,II.,II.,II.,no_gold_label,"","","",no_gold_label,II.,359 71 rs. Friderico II. iuveni marchione Brandenburg. et
5,8513,II.,II.,II.,no_gold_label,"","","",no_gold_label,II.,Tanghermundis Halberstad. dioc. Friderico II. iuveni marchione Brandenburg. et
5,9465,II.,II.,II.,no_gold_label,"","","",no_gold_label,II.,W. sub dominio Frederici II. marchionis Brandenburg. supplic. in
5,9465,II.,II.,II.,no_gold_label,"","","",no_gold_label,II.,W. sub dominio Frederici II. marchionis Brandenburg. supplic. in
5,9465,IV.,IV.,IV.,no_gold_label,"","","",no_gold_label,IV.,peregrinorum inter quos Carolus IV. R. I. reges Francie
