volume,nr_RG,text
2,370,"Albert, Erzbischof usw. von Magdeburg, und die Bürger der Stadt Magdeburg
Gewährung des Jubiläumsablasses für die Besucher der Domkirche, des Hauses der Augustiner-Eremiten zu Magdeburg, der Kirche St. Johannes auf dem Berge vor den Mauern Magdeburgs und der Kirche St. Peter und Paul in der Altstadt Magdeburg; von den Opfergaben, die dem Abt des Klosters S. Pietro de Percipiano, Benediktinerordens, Diözese Tortona, als Nuntius und Bartholomeus de Turchiis, Bürger von Lucca, zugewiesen sind, soll die eine Hälfte auf den Bau der Basiliken der Stadt (Rom), die andere Hälfte auf den Bau der genannten Magdeburger Kirche verwendet werden. 26. Apr. 1394 L 1 103v und V 314 236v.
und Benedikt, Abt von S. Pietro de Percipiano, Benediktinerordens, Diözese Tortona: Gewährung der Erlaubnis, dass der eine von ihnen in Abwesenheit des anderen die Briefe über den Jubiläumsablass in der Kirchenprovinz Magdeburg vollstrecken kann. 26. Apr. 1396 V 315 189.
Konservatorie (Schutzbrief). 17. Dez. 1396 L 45 122v.
Mandat zur Vorladung der Magdeburger Domherren, die anlässlich des Jubiläumsablasses entgegen der Anordnung des Papstes nach der Einsetzung der Beichtväter vier Kisten in der Domkirche, im Haus der Augustiner-Eremiten, in der Kirche St. Johannes auf dem Berge vor den Mauern und in der Kirche St. Peter und Paul in der Altstadt Magdeburg aufstellten und Johannes von Embeke, Gebhard von Glina, Lippold von Stembeke und Beltram von Velthem als Einnehmer der Gelder einsetzten. Diese sowie Heydo von Byeren, Scholaster, Walter von Kokeritz, Kellner (cellerarius), und Meinhard von Weringerade teilten (die Gelder) unter sich auf.
Sodann drangen sie nach dem Tod Benedikts, des Abtes des Klosters S. Pietro de Percipiano, Benediktinerordens, Diözese Tortona, in dessen Herberge ein, raubten Gold und Silber usw. und warfen den zu sich gerufenen Verwahrer (depositarius) Michael de Paganis ins Gefängnis. 21. Dez. 1396 V 315 164.
Mandat, die vom Kapitel eingezogenen Gelder Michael de Paganis aus Lucca oder Ludwig de Ballionibus aus Perugia zuzuweisen. 10. Febr. 1397 V 315 187.
Widerruf des Mandats zur Vorladung des Johannes von Embeke, Gebhard von Glina, Lippold von Stembeke, Beltram von Velthem, Meinhard von Wernigerode, Heydo von Byeren, Scholaster, und Walter von Kokeritz, Kellner, Magdeburger Domherren, weil sie darlegten, zum Nutzen der Basiliken der Stadt (Rom) gehandelt zu haben. 22. iuri. (wohl Juni oder Juli) (13)97 V 315 248.
Bestätigung der Urkunde über die Bestätigung der Verpfändung der Hälfte der Burg Salza, die der verstorbene Ludwig, (einst Erzbischof) von Magdeburg, damals Erzbischof von Mainz, an Balthasar, Landgraf von Thüringen, Wilhelm und den verstorbenen Friedrich, Markgrafen von Meißen, seine Brüder, vorgenommen hatte; Albert (legt vor?) das Zeugnis über den Krieg zwischen Ludwig und Adolf, Erzbischöfen von Mainz, ausgestellt von Christian, Bischof von Naumburg, Heinrich, Bischof von Merseburg, Johann, Grafen von Schwarzburg, (Text bricht ab)"
2,645,"Aschersleben
Kirche des Franziskanerhauses der Stadt, Diözese Halberstadt: Ablass nach dem Vorbild der Kirche S. Maria in Portiuncula. 5. Juli 1401 L 94 199."
2,878,"Boldensberg
Marienkapelle, Diözese Brandenburg: Ablass. 5. Dez. 1400 L 90 106v."
2,913,"Braunschweig
Die Bürgermeister usw. der Stadt, Diözese Halberstadt: Privileg de non evocando (nicht vor auswärtige Gerichte geladen zu werden). 19. Mai 1390 R 103.
Die Bürgermeister usw. der Stadt, Diözese Halberstadt: Widerruf des Privilegs de non evocando. 27. Dez. 1390 L 12 139.
Die Bürgermeister usw. der Stadt, Diözese Halberstadt: Mandat, dass die Archidiakone und Offiziale in der genannten Stadt Vikare einsetzen. 8. Aug. 1391 L 10 231.
Die Bürgermeister usw. der Stadt, Diözese Halberstadt: Mandat, dass — wie schon zuvor dem Roland, Dekan der Kirche St. Blasius in der genannten Stadt (aufgetragen) — die von Papst Bonifaz VIII. erlassene Konstitution ""Provide attendentes"" veröffentlicht werde. 7. Mai 1400 L 79 224.
Tafelgut des Dekans usw. der Kirche St. Blasius, Diözese Halberstadt: Inkorporation der Pfarrkirche St. Ulrich in Braunschweig. 22. Apr. 1399 L 69 185v.
Pfarrkirche St. Katharina, Diözese Halberstadt: Ablass nach dem Vorbild der Kirche San Marco in Venedig. 12. Dez. 1399 L 82 175."
2,916,"Bautzen
Kirche St. Petri der Stadt, Diözese Meißen: betreffend den mit dem Interdikt belegten Ort. 7. Mai 1402 R 331v.
Marienkirche des Franziskanerhauses, Diözese Meißen: Ablass. 29. Dez. 1401 L 100 153v.
Marienkirche des Franziskanerhauses, Diözese Meißen: Ablass. 13. Jan. 1402 L 100 158v."
2,919,"Bukow
Dorf bei Gazelitz, Diözese Brandenburg, Pfarrkirche: Ablass. 17. Dez. 1401 L 100 110v."
2,1462,"Dresden
Kapelle zum Heiligen Kreuz in der Stadt, Diözese Meißen: Ablass. 28. Aug. 1393 L 30 252.
Kapelle zum Heiligen Kreuz in der Stadt, Diözese Meißen: Ablass. 30. Apr. 1399 L 69 136."
2,1596,"Elisabeth, einst Markgräfin von Meißen
Ablass für diejenigen, die den von ihr in der Kirche zu Meißen gestifteten Offizien und Messen beiwohnen. 24. Juli 1402 L 104 234."
2,1682,"Ernfridestorff
Pfarrkirche St. Nikolaus, Erasmus und Katharina, Diözese Meißen: Ablass. 12. Apr. 1400 L 72 98."
2,2229,"Görlitz
Marienkirche des Franziskanerhauses, Diözese Meißen: Ablass. 29. Dez. 1401 L 100 114v."
